,model,time,params,predictive-score,fairness-score,combined-score
9,log_reg_expGR,135.292,"{'preprocessing__column_transformer__quant__scaler__apply': False, 'preprocessing__column_transformer__quant__scaler__method': 'standard', 'preprocessing__column_transformer__cat__encoder__method': 'one-hot', 'preprocessing__column_transformer__cat__imputer__apply': False, 'preprocessing__column_transformer__quant__imputer__apply': False, 'log_reg_expGR__estimator__penalty': 'l1', 'log_reg_expGR__estimator__C': 10, 'log_reg_expGR__estimator__class_weight': 'balanced', 'log_reg_expGR__estimator__threshold': 0.7, 'log_reg_expGR__constraints': 'DemographicParity', 'log_reg_expGR__eps': 0.067, 'log_reg_expGR__max_iter': 55, 'log_reg_expGR__eta0': 2.5000000000000004, 'log_reg_expGR__drop_prot_attr': True}",0.7134453781512604,0.07515989342518699,0.8336950954317757
25,log_reg_reweighing_expGR,136.71,"{'preprocessing__column_transformer__quant__scaler__apply': True, 'preprocessing__column_transformer__quant__scaler__method': 'min-max', 'preprocessing__column_transformer__cat__encoder__method': 'one-hot', 'preprocessing__column_transformer__cat__imputer__apply': False, 'preprocessing__column_transformer__quant__imputer__apply': False, 'log_reg_reweighing_expGR__estimator__estimator__penalty': 'l1', 'log_reg_reweighing_expGR__estimator__estimator__C': 30, 'log_reg_reweighing_expGR__estimator__estimator__class_weight': None, 'log_reg_reweighing_expGR__estimator__estimator__threshold': 0.8, 'log_reg_reweighing_expGR__estimator__constraints': 'TruePositiveRateParity', 'log_reg_reweighing_expGR__estimator__eps': 0.043000000000000003, 'log_reg_reweighing_expGR__estimator__max_iter': 25, 'log_reg_reweighing_expGR__estimator__eta0': 0.30000000000000004, 'log_reg_reweighing_expGR__estimator__drop_prot_attr': True}",0.7019607843137254,0.06393408046025228,0.8314893890478724
41,log_reg_CEO_reweighing,9.098,"{'preprocessing__column_transformer__quant__scaler__apply': False, 'preprocessing__column_transformer__quant__scaler__method': 'standard', 'preprocessing__column_transformer__cat__encoder__method': 'one-hot', 'preprocessing__column_transformer__cat__imputer__apply': False, 'preprocessing__column_transformer__quant__imputer__apply': False, 'log_reg_CEO_reweighing__estimator__estimator__penalty': 'l2', 'log_reg_CEO_reweighing__estimator__estimator__C': 1, 'log_reg_CEO_reweighing__estimator__estimator__class_weight': 'balanced', 'log_reg_CEO_reweighing__estimator__estimator__threshold': 0.9, 'log_reg_CEO_reweighing__postprocessor__cost_constraint': 'fnr'}",0.7081232492997198,0.07244348483000002,0.8271726609046763
4,log_reg_reweighing,8.053,"{'preprocessing__column_transformer__quant__scaler__apply': True, 'preprocessing__column_transformer__quant__scaler__method': 'min-max', 'preprocessing__column_transformer__cat__encoder__method': 'ordinal', 'preprocessing__column_transformer__cat__imputer__apply': False, 'preprocessing__column_transformer__quant__imputer__apply': False, 'log_reg_reweighing__estimator__penalty': 'l2', 'log_reg_reweighing__estimator__C': 10, 'log_reg_reweighing__estimator__class_weight': 'balanced', 'log_reg_reweighing__estimator__threshold': 0.7}",0.6756302521008404,0.03895776378437217,0.8247487454658433
13,log_reg_GSR,70.179,"{'preprocessing__column_transformer__quant__scaler__apply': False, 'preprocessing__column_transformer__quant__scaler__method': 'min-max', 'preprocessing__column_transformer__cat__encoder__method': 'ordinal', 'preprocessing__column_transformer__cat__imputer__apply': False, 'preprocessing__column_transformer__quant__imputer__apply': False, 'log_reg_GSR__estimator__penalty': 'l1', 'log_reg_GSR__estimator__C': 30, 'log_reg_GSR__estimator__class_weight': 'balanced', 'log_reg_GSR__estimator__threshold': 0.6, 'log_reg_GSR__constraints': 'TruePositiveRateParity', 'log_reg_GSR__constraint_weight': 0.060000000000000005, 'log_reg_GSR__grid_size': 35, 'log_reg_GSR__grid_limit': 1, 'log_reg_GSR__loss': 'Absolute', 'log_reg_GSR__drop_prot_attr': False}",0.7103641456582632,0.07916221155519002,0.8175833035344813
29,log_reg_reweighing_GSR,71.003,"{'preprocessing__column_transformer__quant__scaler__apply': False, 'preprocessing__column_transformer__quant__scaler__method': 'min-max', 'preprocessing__column_transformer__cat__encoder__method': 'ordinal', 'preprocessing__column_transformer__cat__imputer__apply': False, 'preprocessing__column_transformer__quant__imputer__apply': False, 'log_reg_reweighing_GSR__estimator__estimator__penalty': 'l1', 'log_reg_reweighing_GSR__estimator__estimator__C': 30, 'log_reg_reweighing_GSR__estimator__estimator__class_weight': 'balanced', 'log_reg_reweighing_GSR__estimator__estimator__threshold': 0.6, 'log_reg_reweighing_GSR__estimator__constraints': 'TruePositiveRateParity', 'log_reg_reweighing_GSR__estimator__constraint_weight': 0.060000000000000005, 'log_reg_reweighing_GSR__estimator__grid_size': 35, 'log_reg_reweighing_GSR__estimator__grid_limit': 1, 'log_reg_reweighing_GSR__estimator__loss': 'Absolute', 'log_reg_reweighing_GSR__estimator__drop_prot_attr': False}",0.7103641456582632,0.07916221155519002,0.8175833035344813
33,log_reg_reweighing_CEO,9.546,"{'preprocessing__column_transformer__quant__scaler__apply': False, 'preprocessing__column_transformer__quant__scaler__method': 'min-max', 'preprocessing__column_transformer__cat__encoder__method': 'one-hot', 'preprocessing__column_transformer__cat__imputer__apply': False, 'preprocessing__column_transformer__quant__imputer__apply': False, 'log_reg_reweighing_CEO__estimator__estimator__penalty': 'l1', 'log_reg_reweighing_CEO__estimator__estimator__C': 50, 'log_reg_reweighing_CEO__estimator__estimator__class_weight': 'balanced', 'log_reg_reweighing_CEO__estimator__estimator__threshold': 0.7, 'log_reg_reweighing_CEO__estimator__postprocessor__cost_constraint': 'fpr'}",0.6834733893557423,0.056424499907981984,0.804570078840403
5,XGB_reweighing,7.241,"{'preprocessing__column_transformer__quant__scaler__apply': True, 'preprocessing__column_transformer__quant__scaler__method': 'min-max', 'preprocessing__column_transformer__cat__encoder__method': 'ordinal', 'preprocessing__column_transformer__cat__imputer__apply': False, 'preprocessing__column_transformer__quant__imputer__apply': False, 'XGB_reweighing__estimator__max_depth': 100, 'XGB_reweighing__estimator__reg_lambda': 0.35000000000000003, 'XGB_reweighing__estimator__n_estimators': 100, 'XGB_reweighing__estimator__eta': 0.04, 'XGB_reweighing__estimator__alpha': 0.3900000000000002}",0.6705882352941177,0.04880668938192801,0.7910828592292092
45,log_reg_ROC_reweighing,7.38,"{'preprocessing__column_transformer__quant__scaler__apply': False, 'preprocessing__column_transformer__quant__scaler__method': 'standard', 'preprocessing__column_transformer__cat__encoder__method': 'one-hot', 'preprocessing__column_transformer__cat__imputer__apply': False, 'preprocessing__column_transformer__quant__imputer__apply': False, 'log_reg_ROC_reweighing__estimator__estimator__penalty': 'l1', 'log_reg_ROC_reweighing__estimator__estimator__C': 1, 'log_reg_ROC_reweighing__estimator__estimator__class_weight': 'balanced', 'log_reg_ROC_reweighing__estimator__estimator__threshold': 0.9, 'log_reg_ROC_reweighing__postprocessor__threshold': 0.37999999999999995, 'log_reg_ROC_reweighing__postprocessor__margin': 0.01}",0.6915966386554622,0.07332821754812018,0.7862968233957017
61,log_reg_ROC_GSR,68.031,"{'preprocessing__column_transformer__quant__scaler__apply': True, 'preprocessing__column_transformer__quant__scaler__method': 'min-max', 'preprocessing__column_transformer__cat__encoder__method': 'ordinal', 'preprocessing__column_transformer__cat__imputer__apply': False, 'preprocessing__column_transformer__quant__imputer__apply': False, 'log_reg_ROC_GSR__estimator__estimator__penalty': 'l2', 'log_reg_ROC_GSR__estimator__estimator__C': 1, 'log_reg_ROC_GSR__estimator__estimator__class_weight': 'balanced', 'log_reg_ROC_GSR__estimator__estimator__threshold': 0.4, 'log_reg_ROC_GSR__estimator__constraints': 'DemographicParity', 'log_reg_ROC_GSR__estimator__constraint_weight': 0.51, 'log_reg_ROC_GSR__estimator__grid_size': 5, 'log_reg_ROC_GSR__estimator__grid_limit': 2, 'log_reg_ROC_GSR__estimator__loss': 'ZeroOne', 'log_reg_ROC_GSR__estimator__drop_prot_attr': True, 'log_reg_ROC_GSR__postprocessor__threshold': 0.47, 'log_reg_ROC_GSR__postprocessor__margin': 0.039999999999999994}",0.6784313725490196,0.06442002535464424,0.7750051768012507
