,model,time,params,predictive-score,fairness-score,combined-score
25,log_reg_reweighing_expGR,206.045,"{'preprocessing__column_transformer__quant__scaler__apply': True, 'preprocessing__column_transformer__quant__scaler__method': 'standard', 'preprocessing__column_transformer__cat__encoder__method': 'one-hot', 'preprocessing__column_transformer__cat__imputer__apply': False, 'preprocessing__column_transformer__quant__imputer__apply': False, 'log_reg_reweighing_expGR__estimator__estimator__penalty': 'l1', 'log_reg_reweighing_expGR__estimator__estimator__C': 30, 'log_reg_reweighing_expGR__estimator__estimator__class_weight': None, 'log_reg_reweighing_expGR__estimator__estimator__threshold': 0.7, 'log_reg_reweighing_expGR__estimator__constraints': 'TruePositiveRateParity', 'log_reg_reweighing_expGR__estimator__eps': 0.025, 'log_reg_reweighing_expGR__estimator__max_iter': 85, 'log_reg_reweighing_expGR__estimator__eta0': 0.30000000000000004, 'log_reg_reweighing_expGR__estimator__drop_prot_attr': False}",0.711111111111111,0.10808609204899358,0.7440774027881146
9,log_reg_expGR,205.702,"{'preprocessing__column_transformer__quant__scaler__apply': True, 'preprocessing__column_transformer__quant__scaler__method': 'standard', 'preprocessing__column_transformer__cat__encoder__method': 'one-hot', 'preprocessing__column_transformer__cat__imputer__apply': False, 'preprocessing__column_transformer__quant__imputer__apply': False, 'log_reg_expGR__estimator__penalty': 'l1', 'log_reg_expGR__estimator__C': 30, 'log_reg_expGR__estimator__class_weight': None, 'log_reg_expGR__estimator__threshold': 0.7, 'log_reg_expGR__constraints': 'TruePositiveRateParity', 'log_reg_expGR__eps': 0.025, 'log_reg_expGR__max_iter': 85, 'log_reg_expGR__eta0': 0.30000000000000004, 'log_reg_expGR__drop_prot_attr': False}",0.7044444444444447,0.1063506054001709,0.7325795043764294
53,log_reg_ROC_expGR,147.304,"{'preprocessing__column_transformer__quant__scaler__apply': False, 'preprocessing__column_transformer__quant__scaler__method': 'min-max', 'preprocessing__column_transformer__cat__encoder__method': 'one-hot', 'preprocessing__column_transformer__cat__imputer__apply': False, 'preprocessing__column_transformer__quant__imputer__apply': False, 'log_reg_ROC_expGR__estimator__estimator__penalty': 'l2', 'log_reg_ROC_expGR__estimator__estimator__C': 50, 'log_reg_ROC_expGR__estimator__estimator__class_weight': None, 'log_reg_ROC_expGR__estimator__estimator__threshold': 0.5, 'log_reg_ROC_expGR__estimator__constraints': 'TruePositiveRateParity', 'log_reg_ROC_expGR__estimator__eps': 0.001, 'log_reg_ROC_expGR__estimator__max_iter': 80, 'log_reg_ROC_expGR__estimator__eta0': 3.3000000000000007, 'log_reg_ROC_expGR__estimator__drop_prot_attr': False, 'log_reg_ROC_expGR__postprocessor__threshold': 0.49999999999999994, 'log_reg_ROC_expGR__postprocessor__margin': 0.039999999999999994}",0.6923809523809524,0.09877431284885574,0.7217948111835328
61,log_reg_ROC_GSR,120.034,"{'preprocessing__column_transformer__quant__scaler__apply': True, 'preprocessing__column_transformer__quant__scaler__method': 'min-max', 'preprocessing__column_transformer__cat__encoder__method': 'one-hot', 'preprocessing__column_transformer__cat__imputer__apply': False, 'preprocessing__column_transformer__quant__imputer__apply': False, 'log_reg_ROC_GSR__estimator__estimator__penalty': 'l1', 'log_reg_ROC_GSR__estimator__estimator__C': 75, 'log_reg_ROC_GSR__estimator__estimator__class_weight': 'balanced', 'log_reg_ROC_GSR__estimator__estimator__threshold': 0.3, 'log_reg_ROC_GSR__estimator__constraints': 'TruePositiveRateParity', 'log_reg_ROC_GSR__estimator__constraint_weight': 0.81, 'log_reg_ROC_GSR__estimator__grid_size': 35, 'log_reg_ROC_GSR__estimator__grid_limit': 7, 'log_reg_ROC_GSR__estimator__loss': 'Absolute', 'log_reg_ROC_GSR__estimator__drop_prot_attr': False, 'log_reg_ROC_GSR__postprocessor__threshold': 0.37999999999999995, 'log_reg_ROC_GSR__postprocessor__margin': 0.034999999999999996}",0.7003174603174603,0.10741154172083586,0.7206379769009823
5,XGB_reweighing,7.293,"{'preprocessing__column_transformer__quant__scaler__apply': True, 'preprocessing__column_transformer__quant__scaler__method': 'standard', 'preprocessing__column_transformer__cat__encoder__method': 'ordinal', 'preprocessing__column_transformer__cat__imputer__apply': False, 'preprocessing__column_transformer__quant__imputer__apply': False, 'XGB_reweighing__estimator__max_depth': 100, 'XGB_reweighing__estimator__reg_lambda': 0.0, 'XGB_reweighing__estimator__n_estimators': 70, 'XGB_reweighing__estimator__eta': 0.28, 'XGB_reweighing__estimator__alpha': 0.7500000000000004}",0.6860317460317459,0.09823719883146573,0.7083239070954078
45,log_reg_ROC_reweighing,13.435,"{'preprocessing__column_transformer__quant__scaler__apply': True, 'preprocessing__column_transformer__quant__scaler__method': 'standard', 'preprocessing__column_transformer__cat__encoder__method': 'one-hot', 'preprocessing__column_transformer__cat__imputer__apply': False, 'preprocessing__column_transformer__quant__imputer__apply': False, 'log_reg_ROC_reweighing__estimator__estimator__penalty': 'l1', 'log_reg_ROC_reweighing__estimator__estimator__C': 30, 'log_reg_ROC_reweighing__estimator__estimator__class_weight': 'balanced', 'log_reg_ROC_reweighing__estimator__estimator__threshold': 0.5, 'log_reg_ROC_reweighing__postprocessor__threshold': 0.32, 'log_reg_ROC_reweighing__postprocessor__margin': 0.045}",0.6993650793650794,0.11310966400226932,0.7055628176351567
4,log_reg_reweighing,13.31,"{'preprocessing__column_transformer__quant__scaler__apply': False, 'preprocessing__column_transformer__quant__scaler__method': 'standard', 'preprocessing__column_transformer__cat__encoder__method': 'one-hot', 'preprocessing__column_transformer__cat__imputer__apply': False, 'preprocessing__column_transformer__quant__imputer__apply': False, 'log_reg_reweighing__estimator__penalty': 'l1', 'log_reg_reweighing__estimator__C': 50, 'log_reg_reweighing__estimator__class_weight': 'balanced', 'log_reg_reweighing__estimator__threshold': 0.5}",0.7104761904761906,0.12724297204444093,0.699332042787639
26,XGB_reweighing_expGR,634.803,"{'preprocessing__column_transformer__quant__scaler__apply': False, 'preprocessing__column_transformer__quant__scaler__method': 'min-max', 'preprocessing__column_transformer__cat__encoder__method': 'ordinal', 'preprocessing__column_transformer__cat__imputer__apply': False, 'preprocessing__column_transformer__quant__imputer__apply': False, 'XGB_reweighing_expGR__estimator__estimator__max_depth': 10, 'XGB_reweighing_expGR__estimator__estimator__reg_lambda': 0.2, 'XGB_reweighing_expGR__estimator__estimator__n_estimators': 70, 'XGB_reweighing_expGR__estimator__estimator__eta': 0.2, 'XGB_reweighing_expGR__estimator__estimator__alpha': 0.5000000000000002, 'XGB_reweighing_expGR__estimator__constraints': 'DemographicParity', 'XGB_reweighing_expGR__estimator__eps': 0.010000000000000002, 'XGB_reweighing_expGR__estimator__max_iter': 80, 'XGB_reweighing_expGR__estimator__eta0': 3.500000000000001, 'XGB_reweighing_expGR__estimator__drop_prot_attr': False}",0.6663492063492062,0.09164004960001249,0.6777061050915559
13,log_reg_GSR,149.801,"{'preprocessing__column_transformer__quant__scaler__apply': False, 'preprocessing__column_transformer__quant__scaler__method': 'standard', 'preprocessing__column_transformer__cat__encoder__method': 'one-hot', 'preprocessing__column_transformer__cat__imputer__apply': False, 'preprocessing__column_transformer__quant__imputer__apply': False, 'log_reg_GSR__estimator__penalty': 'l2', 'log_reg_GSR__estimator__C': 30, 'log_reg_GSR__estimator__class_weight': None, 'log_reg_GSR__estimator__threshold': 0.7, 'log_reg_GSR__constraints': 'EqualizedOdds', 'log_reg_GSR__constraint_weight': 0.7100000000000001, 'log_reg_GSR__grid_size': 45, 'log_reg_GSR__grid_limit': 5, 'log_reg_GSR__loss': 'Square', 'log_reg_GSR__drop_prot_attr': True}",0.7161904761904763,0.14361910928928606,0.6755528919133691
29,log_reg_reweighing_GSR,150.236,"{'preprocessing__column_transformer__quant__scaler__apply': False, 'preprocessing__column_transformer__quant__scaler__method': 'standard', 'preprocessing__column_transformer__cat__encoder__method': 'one-hot', 'preprocessing__column_transformer__cat__imputer__apply': False, 'preprocessing__column_transformer__quant__imputer__apply': False, 'log_reg_reweighing_GSR__estimator__estimator__penalty': 'l2', 'log_reg_reweighing_GSR__estimator__estimator__C': 30, 'log_reg_reweighing_GSR__estimator__estimator__class_weight': None, 'log_reg_reweighing_GSR__estimator__estimator__threshold': 0.7, 'log_reg_reweighing_GSR__estimator__constraints': 'EqualizedOdds', 'log_reg_reweighing_GSR__estimator__constraint_weight': 0.7100000000000001, 'log_reg_reweighing_GSR__estimator__grid_size': 45, 'log_reg_reweighing_GSR__estimator__grid_limit': 5, 'log_reg_reweighing_GSR__estimator__loss': 'Square', 'log_reg_reweighing_GSR__estimator__drop_prot_attr': True}",0.7161904761904763,0.14361910928928606,0.6755528919133691
