,model,time,params,predictive-score,fairness-score,combined-score
53,log_reg_ROC_expGR,90.891,"{'preprocessing__column_transformer__quant__scaler__apply': False, 'preprocessing__column_transformer__quant__scaler__method': 'standard', 'preprocessing__column_transformer__cat__encoder__method': 'one-hot', 'preprocessing__column_transformer__cat__imputer__apply': False, 'preprocessing__column_transformer__quant__imputer__apply': False, 'log_reg_ROC_expGR__estimator__estimator__penalty': 'l2', 'log_reg_ROC_expGR__estimator__estimator__C': 0.1, 'log_reg_ROC_expGR__estimator__estimator__class_weight': None, 'log_reg_ROC_expGR__estimator__estimator__threshold': 0.7, 'log_reg_ROC_expGR__estimator__constraints': 'EqualizedOdds', 'log_reg_ROC_expGR__estimator__eps': 0.085, 'log_reg_ROC_expGR__estimator__max_iter': 60, 'log_reg_ROC_expGR__estimator__eta0': 2.900000000000001, 'log_reg_ROC_expGR__estimator__drop_prot_attr': False, 'log_reg_ROC_expGR__postprocessor__threshold': 0.26, 'log_reg_ROC_expGR__postprocessor__margin': 0.045}",0.712044817927171,0.07783264080465235,0.8317525266090372
9,log_reg_expGR,303.184,"{'preprocessing__column_transformer__quant__scaler__apply': True, 'preprocessing__column_transformer__quant__scaler__method': 'standard', 'preprocessing__column_transformer__cat__encoder__method': 'one-hot', 'preprocessing__column_transformer__cat__imputer__apply': False, 'preprocessing__column_transformer__quant__imputer__apply': False, 'log_reg_expGR__estimator__penalty': 'l1', 'log_reg_expGR__estimator__C': 30, 'log_reg_expGR__estimator__class_weight': None, 'log_reg_expGR__estimator__threshold': 0.7, 'log_reg_expGR__constraints': 'TruePositiveRateParity', 'log_reg_expGR__eps': 0.025, 'log_reg_expGR__max_iter': 85, 'log_reg_expGR__eta0': 0.30000000000000004, 'log_reg_expGR__drop_prot_attr': False}",0.7042016806722688,0.0707765590913864,0.8279558637277652
4,log_reg_reweighing,10.368,"{'preprocessing__column_transformer__quant__scaler__apply': True, 'preprocessing__column_transformer__quant__scaler__method': 'min-max', 'preprocessing__column_transformer__cat__encoder__method': 'ordinal', 'preprocessing__column_transformer__cat__imputer__apply': False, 'preprocessing__column_transformer__quant__imputer__apply': False, 'log_reg_reweighing__estimator__penalty': 'l2', 'log_reg_reweighing__estimator__C': 10, 'log_reg_reweighing__estimator__class_weight': 'balanced', 'log_reg_reweighing__estimator__threshold': 0.7}",0.6756302521008404,0.03895776378437217,0.826529574395777
25,log_reg_reweighing_expGR,299.14,"{'preprocessing__column_transformer__quant__scaler__apply': True, 'preprocessing__column_transformer__quant__scaler__method': 'min-max', 'preprocessing__column_transformer__cat__encoder__method': 'one-hot', 'preprocessing__column_transformer__cat__imputer__apply': False, 'preprocessing__column_transformer__quant__imputer__apply': False, 'log_reg_reweighing_expGR__estimator__estimator__penalty': 'l1', 'log_reg_reweighing_expGR__estimator__estimator__C': 30, 'log_reg_reweighing_expGR__estimator__estimator__class_weight': None, 'log_reg_reweighing_expGR__estimator__estimator__threshold': 0.8, 'log_reg_reweighing_expGR__estimator__constraints': 'TruePositiveRateParity', 'log_reg_reweighing_expGR__estimator__eps': 0.043000000000000003, 'log_reg_reweighing_expGR__estimator__max_iter': 25, 'log_reg_reweighing_expGR__estimator__eta0': 0.30000000000000004, 'log_reg_reweighing_expGR__estimator__drop_prot_attr': True}",0.7058823529411764,0.0736330152015903,0.8260419871906778
41,log_reg_CEO_reweighing,10.119,"{'preprocessing__column_transformer__quant__scaler__apply': False, 'preprocessing__column_transformer__quant__scaler__method': 'standard', 'preprocessing__column_transformer__cat__encoder__method': 'one-hot', 'preprocessing__column_transformer__cat__imputer__apply': False, 'preprocessing__column_transformer__quant__imputer__apply': False, 'log_reg_CEO_reweighing__estimator__estimator__penalty': 'l2', 'log_reg_CEO_reweighing__estimator__estimator__C': 1, 'log_reg_CEO_reweighing__estimator__estimator__class_weight': 'balanced', 'log_reg_CEO_reweighing__estimator__estimator__threshold': 0.9, 'log_reg_CEO_reweighing__postprocessor__cost_constraint': 'fnr'}",0.7061624649859943,0.07599168741779758,0.8219038064729233
5,XGB_reweighing,15.639,"{'preprocessing__column_transformer__quant__scaler__apply': True, 'preprocessing__column_transformer__quant__scaler__method': 'min-max', 'preprocessing__column_transformer__cat__encoder__method': 'ordinal', 'preprocessing__column_transformer__cat__imputer__apply': False, 'preprocessing__column_transformer__quant__imputer__apply': False, 'XGB_reweighing__estimator__max_depth': 100, 'XGB_reweighing__estimator__reg_lambda': 0.35000000000000003, 'XGB_reweighing__estimator__n_estimators': 100, 'XGB_reweighing__estimator__eta': 0.04, 'XGB_reweighing__estimator__alpha': 0.3900000000000002}",0.6705882352941177,0.04880668938192801,0.7949062225515694
54,XGB_ROC_expGR,703.394,"{'preprocessing__column_transformer__quant__scaler__apply': True, 'preprocessing__column_transformer__quant__scaler__method': 'min-max', 'preprocessing__column_transformer__cat__encoder__method': 'ordinal', 'preprocessing__column_transformer__cat__imputer__apply': False, 'preprocessing__column_transformer__quant__imputer__apply': False, 'XGB_ROC_expGR__estimator__estimator__max_depth': 40, 'XGB_ROC_expGR__estimator__estimator__reg_lambda': 0.8500000000000001, 'XGB_ROC_expGR__estimator__estimator__n_estimators': 30, 'XGB_ROC_expGR__estimator__estimator__eta': 0.2, 'XGB_ROC_expGR__estimator__estimator__alpha': 0.5600000000000003, 'XGB_ROC_expGR__estimator__constraints': 'ErrorRateParity', 'XGB_ROC_expGR__estimator__eps': 0.043000000000000003, 'XGB_ROC_expGR__estimator__max_iter': 95, 'XGB_ROC_expGR__estimator__eta0': 1.1000000000000003, 'XGB_ROC_expGR__estimator__drop_prot_attr': True, 'XGB_ROC_expGR__postprocessor__threshold': 0.47, 'XGB_ROC_expGR__postprocessor__margin': 0.039999999999999994}",0.6784313725490196,0.06617254357562949,0.7777875683549406
33,log_reg_reweighing_CEO,10.949,"{'preprocessing__column_transformer__quant__scaler__apply': False, 'preprocessing__column_transformer__quant__scaler__method': 'min-max', 'preprocessing__column_transformer__cat__encoder__method': 'one-hot', 'preprocessing__column_transformer__cat__imputer__apply': False, 'preprocessing__column_transformer__quant__imputer__apply': False, 'log_reg_reweighing_CEO__estimator__estimator__penalty': 'l1', 'log_reg_reweighing_CEO__estimator__estimator__C': 50, 'log_reg_reweighing_CEO__estimator__estimator__class_weight': 'balanced', 'log_reg_reweighing_CEO__estimator__estimator__threshold': 0.7, 'log_reg_reweighing_CEO__estimator__postprocessor__cost_constraint': 'fpr'}",0.6935574229691877,0.08539008869119681,0.7737300038324174
27,LGB_reweighing_expGR,572.951,"{'preprocessing__column_transformer__quant__scaler__apply': True, 'preprocessing__column_transformer__quant__scaler__method': 'min-max', 'preprocessing__column_transformer__cat__encoder__method': 'ordinal', 'preprocessing__column_transformer__cat__imputer__apply': False, 'preprocessing__column_transformer__quant__imputer__apply': False, 'LGB_reweighing_expGR__estimator__estimator__max_depth': 8, 'LGB_reweighing_expGR__estimator__estimator__num_leaves': 4, 'LGB_reweighing_expGR__estimator__estimator__n_estimators': 100, 'LGB_reweighing_expGR__estimator__estimator__learning_rate': 0.064, 'LGB_reweighing_expGR__estimator__estimator__lambda_l1': 0.436, 'LGB_reweighing_expGR__estimator__estimator__lambda_l2': 0.066, 'LGB_reweighing_expGR__estimator__estimator__min_split_gain': 0.003, 'LGB_reweighing_expGR__estimator__estimator__min_child_weight': 13, 'LGB_reweighing_expGR__estimator__estimator__lambda_feature_fraction': 0.6000000000000002, 'LGB_reweighing_expGR__estimator__constraints': 'TruePositiveRateParity', 'LGB_reweighing_expGR__estimator__eps': 0.046, 'LGB_reweighing_expGR__estimator__max_iter': 45, 'LGB_reweighing_expGR__estimator__eta0': 0.1, 'LGB_reweighing_expGR__estimator__drop_prot_attr': False}",0.6616246498599441,0.05145447611809362,0.768836111022891
1,XGB,10.087,"{'preprocessing__quant__scaler__apply': False, 'preprocessing__quant__scaler__method': 'min-max', 'preprocessing__cat__encoder__method': 'one-hot', 'preprocessing__cat__imputer__apply': False, 'preprocessing__quant__imputer__apply': False, 'XGB__max_depth': 30, 'XGB__reg_lambda': 0.8, 'XGB__n_estimators': 100, 'XGB__eta': 0.06, 'XGB__alpha': 0.9700000000000006}",0.6795518207282913,0.07255045733247281,0.7674360900546129
